Strain,env,Mean_GR,Std_err,DFEmean,DFEvar,DFEskew ,DFEmean_min,DFEmean_max,DFEvar_min,DFEvar_max,DFEskew_min,DFEskew_max
LK5-F08,YPD,0.687838427,0.011763226,-0.028241364,0.000706737,-1.352134824,-0.034610672,-0.021767231,0.000349126,0.001035028,-2.1162063,-0.0754368
LK5-F10,YPD,0.583070351,0.00342568,-0.021582015,0.00147172,-1.643469318,-0.030248803,-0.013042571,0.000680448,0.002204356,-2.467689046,-0.19934784
LK5-G01,YPD,0.578439125,0.003678193,-0.008229028,0.000674331,-0.169556149,-0.013991655,-0.002228636,0.000463332,0.000863406,-0.496877411,0.141042297
LK5-G03,YPD,0.61348315,0.002108656,-0.003774429,0.000581109,-0.804344674,-0.009782307,0.002879868,0.000268846,0.000840412,-1.573989192,0.556838189
LK5-H02,YPD,0.639822933,0.002158019,-0.016805394,0.000735535,-0.858159425,-0.02283154,-0.010924706,0.000442216,0.001003087,-1.550782262,-0.049392969
LK5-H07,YPD,0.657489304,0.001864308,-0.012957788,0.001058097,-1.679471674,-0.020755454,-0.005414628,0.000428022,0.001586625,-2.209948939,-0.11997177
LK5-H12,YPD,0.649928733,0.001992993,-0.021232972,0.000734948,-0.177233138,-0.026888778,-0.014937326,0.000471012,0.00098268,-0.889181915,0.343274107
LK6-A03,YPD,0.603534479,0.003126813,-0.007051523,0.000846727,0.101407506,-0.013702825,-0.000764613,0.000538465,0.001111856,-0.57500797,0.773520332
LK6-A05,YPD,0.679471525,0.00291105,-0.031263548,0.001268188,-0.951626927,-0.03953507,-0.02251852,0.00077429,0.001676052,-1.390768163,-0.522073966
LK6-A07,YPD,0.630652325,0.000799239,-0.027297212,0.000895182,-0.460289002,-0.035119849,-0.019805428,0.000529295,0.00124447,-1.197663781,0.28968194
LK6-A09,YPD,0.557722494,0.006375402,0.004721773,0.000870825,0.507992872,-0.003343386,0.012740547,0.000444281,0.001238975,-0.57592232,1.058470117
LK6-A10,YPD,0.587774073,0.013969185,-0.004977757,0.000703199,0.6927853,-0.01188281,0.001565599,0.000368911,0.000996572,-0.501574603,1.32325274
LK6-A11,YPD,0.574784057,0.003686965,-0.004144176,0.000709159,-0.133475194,-0.010537061,0.001799428,0.000441822,0.00095636,-0.71600902,0.450718594
LK6-B05,YPD,0.667202688,0.000781425,-0.037878281,0.002024701,-1.278385036,-0.048876537,-0.027387898,0.00107789,0.00281843,-1.856854339,-0.734800198
LK6-B07,YPD,0.656940941,0.001516436,-0.009949507,0.000690717,-1.076332967,-0.01700224,-0.003182951,0.000346048,0.000992575,-1.594090569,0.148610799
LK6-B09,YPD,0.610046132,0.000742145,-0.012526621,0.000612441,-0.258793538,-0.018916701,-0.006877025,0.000396482,0.000799179,-0.791202215,0.199525401
LK6-B10,YPD,0.702170922,0.001376278,-0.032468105,0.001616462,-1.207060162,-0.042892923,-0.023170486,0.00079219,0.002232428,-1.672606742,-0.491081303
LK6-C02,YPD,0.663044427,0.001253768,-0.015496309,0.000871216,-0.63981039,-0.022229894,-0.008237339,0.000532312,0.001169048,-1.082105833,-0.02219327
LK6-C05,YPD,0.61515447,0.00027315,-0.010303455,0.000761828,-0.332074848,-0.016516912,-0.004507947,0.000516992,0.00098676,-0.714952703,0.103773382
LK6-C11,YPD,0.75047251,0.002621052,-0.0308528,0.002095026,-1.809817381,-0.043013614,-0.019528095,0.000741742,0.003227519,-2.462066126,-0.77227896
LK6-C12,YPD,0.72089751,0.002062064,-0.039478275,0.00201976,-1.196990826,-0.050323566,-0.029094745,0.001164347,0.002776208,-1.764090853,-0.574785078
LK6-D05,YPD,0.630574932,0.011669629,-0.008952934,0.000765244,0.153498429,-0.015205388,-0.002875191,0.000498339,0.001009116,-0.534572281,0.574679281
LK6-D06,YPD,0.611543168,0.002516981,-0.005702205,0.000661529,-0.122822856,-0.011275994,5.03E-05,0.000426402,0.000849577,-0.540800713,0.431005031
LK6-D07,YPD,0.607139108,0.000851314,-0.007617536,0.000591705,0.269702723,-0.013541693,-0.002065277,0.00037555,0.000807152,-0.623248123,0.984651978
LK6-E02,YPD,0.568407535,0.002363814,-0.003411228,0.000745201,-0.4696514,-0.010028439,0.002978298,0.000473243,0.001007918,-0.885695563,0.199069502
LK6-F03,YPD,0.566872614,0.001342171,-0.014685129,0.001071062,-0.331292707,-0.021933631,-0.007556281,0.000697627,0.001438533,-0.755586885,0.212744047
